,Reaction_name,Reaction_name_long,Subsystem,cell_type,associated_genes
0,DESAT18_4_pos,stearoyl-CoA_desaturase_(n-C18:0CoA_->_n-C18:1CoA),Fatty_acid_synthesis,Endothelial,SCD4
1,FACOAL1812_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
2,FACOAL1813_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
3,ELAIDt_neg,fatty_acid_transport_via_diffusion,Transport__extracellular,Endothelial,SLC27A2
4,DESAT18_10_pos,fatty_acyl-CoA_desaturase_(n-C18:2CoA_->_n-C18:3CoA),Fatty_acid_synthesis,Endothelial,FADS2
5,FACOAL184_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
6,FACOAL1832_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
7,FACOAL2042_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
8,PGISr_neg,Prostaglandin_I2_synthase,Eicosanoid_metabolism,Endothelial,PTGIS
9,FACOAL1812_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
10,DESAT24_1_pos,fatty_acyl-CoA_desaturase_(n-C24:5CoA_->_n-C24:6CoA),Fatty_acid_synthesis,Endothelial,FADS2
11,FACOAL245_2_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
12,FACOAL246_1_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
13,FACOAL1813_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
14,DESAT18_5_pos,stearoyl-CoA_desaturase_(n-C18:0CoA_->_n-C18:1CoA),Fatty_acid_synthesis,Endothelial,SCD4
15,DESAT20_2_pos,fatty_acyl-CoA_desaturase_(n-C20:4CoA_->_n-C20:5CoA),Fatty_acid_synthesis,Endothelial,FADS1
16,BCDO_pos,beta-Carotene_dioxygenase,Vitamin_A_metabolism,Endothelial,BCO1
17,TAURt4_2_r_neg,taurine_transport_(sodium_symport)_(2:1),Transport__extracellular,Endothelial,SLC6A6
18,LPS2e_pos,lipase__extracellular,Fatty_acid_oxidation,Endothelial,LIPC
19,THFt2_pos,tetrahydrofolate_transport_via_anion_exchange,Transport__extracellular,Endothelial,SLC19A1
20,FACOAL2042_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
